transaction_id,customer_id,amount,customer_avg_amount,amount_ratio,velocity_10m,location_distance_km,hour,merchant_risk_index,is_new_device,is_fraud
tx-gen-000078,cust-0026,63.69,48.78,1.31,0,0.0,11,0.1,0,0
tx-gen-000079,cust-0030,154.97,105.05,1.48,0,0.0,16,0.1,0,0
tx-gen-000080,cust-0022,5.0,51.28,0.1,0,0.0,12,0.1,0,0
tx-gen-000081,cust-0017,25.57,57.6,0.44,0,0.0,19,0.1,0,0
tx-gen-000082,cust-0023,31.27,253.94,0.12,0,0.0,5,0.1,1,0
tx-gen-000083,cust-0013,467.07,234.88,1.99,0,0.0,13,0.1,0,0
tx-gen-000084,cust-0008,187.99,192.55,0.98,0,0.0,20,0.1,0,0
tx-gen-000085,cust-0011,35.97,89.52,0.4,2,0.0,10,0.1,0,0
tx-gen-000086,cust-0002,6.85,104.26,0.07,0,0.0,9,0.1,0,0
tx-gen-000087,cust-0005,19.92,53.47,0.37,0,0.0,2,0.1,0,0
tx-gen-000088,cust-0044,108.77,276.55,0.39,0,0.0,0,0.4,0,0
tx-gen-000089,cust-0028,387.14,296.01,1.31,0,0.0,6,0.4,0,0
tx-gen-000090,cust-0027,92.89,91.53,1.01,2,0.0,14,0.1,0,0
tx-gen-000091,cust-0030,229.25,105.05,2.18,0,0.0,15,0.1,1,0
tx-gen-000092,cust-0018,35.86,56.11,0.64,0,0.0,23,0.1,0,0
tx-gen-000093,cust-0038,16.87,132.45,0.13,0,0.0,8,0.1,0,0
tx-gen-000094,cust-0049,84.57,67.7,1.25,0,0.0,13,0.1,0,0
tx-gen-000095,cust-0021,91.12,63.7,1.43,0,0.0,7,0.1,0,0
tx-gen-000096,cust-0039,177.79,215.8,0.82,0,0.0,3,0.4,1,0
tx-gen-000097,cust-0006,56.86,38.58,1.47,0,0.0,23,0.1,0,0
tx-gen-000098,cust-0031,173.75,255.21,0.68,0,0.0,16,0.1,0,0
tx-gen-000099,cust-0015,77.69,105.03,0.74,0,0.0,3,0.1,0,0
tx-gen-000100,cust-0036,42.51,76.21,0.56,0,0.0,17,0.4,0,0
tx-gen-000101,cust-0018,5.0,56.11,0.09,0,0.0,23,0.1,0,0
tx-gen-000102,cust-0048,17.57,153.89,0.11,0,0.0,20,0.1,0,0
tx-gen-000103,cust-0047,5.0,136.82,0.04,0,0.0,18,0.4,0,0
tx-gen-000104,cust-0013,237.64,234.88,1.01,0,0.0,20,0.1,0,0
tx-gen-000105,cust-0009,31.58,83.69,0.38,0,0.0,23,0.4,1,0
tx-gen-000106,cust-0041,65.25,91.84,0.71,1,0.0,16,0.1,0,0
tx-gen-000107,cust-0031,607.72,255.21,2.38,2,0.0,0,0.1,0,0
tx-gen-000108,cust-0031,73.18,255.21,0.29,0,0.0,22,0.1,0,0
tx-gen-000109,cust-0044,146.1,276.55,0.53,1,0.0,13,0.4,0,0
tx-gen-000110,cust-0016,406.35,288.45,1.41,0,0.0,21,0.4,0,0
tx-gen-000111,cust-0050,47.17,181.57,0.26,0,0.0,0,0.1,0,0
tx-gen-000112,cust-0028,23.71,296.01,0.08,0,0.0,12,0.1,0,0
tx-gen-000113,cust-0049,23.16,67.7,0.34,0,0.0,4,0.1,0,0
tx-gen-000114,cust-0012,18.48,105.11,0.18,0,0.0,5,0.1,0,0
tx-gen-000115,cust-0031,638.025,255.21,2.5,0,0.0,1,0.1,0,0
tx-gen-000116,cust-0030,173.43,105.05,1.65,0,0.0,5,0.1,0,0
tx-gen-000117,cust-0043,102.65,102.29,1.0,0,0.0,0,0.1,0,0
tx-gen-000118,cust-0010,450.02,219.36,2.05,0,0.0,22,0.1,0,0
tx-gen-000119,cust-0039,351.32,215.8,1.63,0,0.0,19,0.1,0,0
tx-gen-000120,cust-0020,46.88,227.03,0.21,0,0.0,18,0.4,0,0
tx-gen-000121,cust-0039,481.41,215.8,2.23,0,0.0,7,0.1,0,0
tx-gen-000122,cust-0015,81.41,105.03,0.78,2,0.0,8,0.4,1,0
tx-gen-000123,cust-0044,455.57,276.55,1.65,0,0.0,10,0.1,0,0
tx-gen-000124,cust-0034,640.55,282.9,2.26,2,0.0,7,0.1,0,0
tx-gen-000125,cust-0032,49.74,129.95,0.38,0,0.0,18,0.1,0,0
tx-gen-000126,cust-0007,10.38,89.03,0.12,0,0.0,0,0.1,0,0
tx-gen-000127,cust-0026,12.62,48.78,0.26,0,0.0,1,0.1,0,0
tx-gen-000128,cust-0021,35.48,63.7,0.56,1,0.0,18,0.4,0,0
tx-gen-000129,cust-0035,83.96,49.28,1.7,0,0.0,22,0.1,0,0
tx-gen-000130,cust-0032,256.18,129.95,1.97,0,0.0,16,0.1,0,0
tx-gen-000131,cust-0019,5.0,193.01,0.03,0,0.0,2,0.1,0,0
tx-gen-000132,cust-0016,206.21,288.45,0.71,0,0.0,6,0.4,0,0
tx-gen-000133,cust-0015,56.74,105.03,0.54,1,0.0,7,0.1,0,0
tx-gen-000134,cust-0010,55.1,219.36,0.25,0,0.0,13,0.4,0,0
tx-gen-000135,cust-0031,32.59,255.21,0.13,0,0.0,4,0.1,0,0
tx-gen-000136,cust-0039,88.89,215.8,0.41,0,0.0,10,0.1,0,0
tx-gen-000137,cust-0027,228.825,91.53,2.5,1,0.0,5,0.1,0,0
tx-gen-000138,cust-0020,88.63,227.03,0.39,1,0.0,18,0.1,0,0
tx-gen-000139,cust-0031,186.67,255.21,0.73,0,0.0,5,0.4,1,0
tx-gen-000140,cust-0013,285.16,234.88,1.21,0,0.0,17,0.4,0,0
tx-gen-000141,cust-0027,41.37,91.53,0.45,0,0.0,1,0.1,0,0
tx-gen-000142,cust-0042,618.4000000000001,247.36,2.5,0,0.0,2,0.1,1,0
tx-gen-000143,cust-0022,128.2,51.28,2.5,0,0.0,1,0.1,0,0
tx-gen-000144,cust-0047,39.69,136.82,0.29,0,0.0,14,0.1,0,0
tx-gen-000145,cust-0017,39.61,57.6,0.69,1,0.0,4,0.1,0,0
tx-gen-000146,cust-0035,17.64,49.28,0.36,1,0.0,19,0.1,0,0
tx-gen-000147,cust-0005,17.93,53.47,0.34,0,0.0,3,0.1,0,0
tx-gen-000148,cust-0007,5.0,89.03,0.06,0,0.0,3,0.1,0,0
tx-gen-000149,cust-0002,98.06,104.26,0.94,0,0.0,2,0.1,0,0
tx-gen-000150,cust-0016,201.49,288.45,0.7,0,0.0,12,0.1,0,0
tx-gen-000151,cust-0025,9.82,185.89,0.05,1,0.0,22,0.1,0,0
tx-gen-000152,cust-0030,34.31,105.05,0.33,0,0.0,19,0.1,0,0
tx-gen-000153,cust-0030,250.95,105.05,2.39,0,0.0,18,0.1,1,0
tx-gen-000154,cust-0038,36.27,132.45,0.27,0,0.0,14,0.1,0,0
tx-gen-000155,cust-0025,29.1,185.89,0.16,0,0.0,16,0.1,0,0
tx-gen-000156,cust-0019,129.76,193.01,0.67,2,0.0,20,0.1,0,0
tx-gen-000157,cust-0018,630.69,56.11,11.24,5,4270.0,11,0.8,1,1
tx-gen-000158,cust-0039,539.5,215.8,2.5,0,0.0,22,0.1,0,0
tx-gen-000159,cust-0047,37.92,136.82,0.28,1,0.0,10,0.1,0,0
tx-gen-000160,cust-0020,253.17,227.03,1.12,0,0.0,0,0.4,0,0
tx-gen-000161,cust-0019,276.75,193.01,1.43,0,0.0,19,0.1,0,0
tx-gen-000162,cust-0024,73.01,269.07,0.27,0,0.0,19,0.1,0,0
tx-gen-000163,cust-0031,332.47,255.21,1.3,1,0.0,20,0.1,0,0
tx-gen-000164,cust-0005,24.52,53.47,0.46,2,0.0,12,0.1,0,0
tx-gen-000165,cust-0024,269.21,269.07,1.0,0,0.0,21,0.1,0,0
tx-gen-000166,cust-0024,270.1,269.07,1.0,0,0.0,20,0.4,0,0
tx-gen-000167,cust-0024,206.48,269.07,0.77,0,0.0,6,0.1,0,0
tx-gen-000168,cust-0036,7.21,76.21,0.09,0,0.0,12,0.1,0,0
tx-gen-000169,cust-0030,189.47,105.05,1.8,0,0.0,12,0.1,0,0
tx-gen-000170,cust-0003,26.18,67.68,0.39,0,0.0,20,0.1,0,0
tx-gen-000171,cust-0009,17.28,83.69,0.21,0,0.0,18,0.4,0,0
tx-gen-000172,cust-0010,9.13,219.36,0.04,1,0.0,14,0.1,0,0
tx-gen-000173,cust-0018,300.01,56.11,5.35,5,6518.0,17,0.4,1,1
tx-gen-000174,cust-0035,44.05,49.28,0.89,0,0.0,16,0.1,0,0
tx-gen-000175,cust-0008,217.94,192.55,1.13,0,0.0,9,0.1,0,0
tx-gen-000176,cust-0039,5.0,215.8,0.02,0,0.0,14,0.1,0,0
tx-gen-000177,cust-0037,68.96,96.1,0.72,0,0.0,10,0.1,0,0
tx-gen-000178,cust-0015,26.97,105.03,0.26,0,0.0,10,0.4,0,0
tx-gen-000179,cust-0010,227.28,219.36,1.04,0,0.0,4,0.1,0,0
tx-gen-000180,cust-0002,19.98,104.26,0.19,0,0.0,14,0.1,0,0
tx-gen-000181,cust-0017,67.63,57.6,1.17,0,0.0,7,0.4,0,0
tx-gen-000182,cust-0029,129.06,263.95,0.49,0,0.0,17,0.4,0,0
tx-gen-000183,cust-0040,537.125,214.85,2.5,0,0.0,23,0.4,0,0
tx-gen-000184,cust-0002,15.42,104.26,0.15,0,0.0,14,0.1,0,0
tx-gen-000185,cust-0046,36.46,87.41,0.42,0,0.0,16,0.1,0,0
tx-gen-000186,cust-0009,10.08,83.69,0.12,0,0.0,14,0.4,0,0
tx-gen-000187,cust-0039,539.5,215.8,2.5,0,0.0,7,0.4,0,0
tx-gen-000188,cust-0045,559.46,266.62,2.1,0,0.0,14,0.4,0,0
tx-gen-000189,cust-0029,78.74,263.95,0.3,1,0.0,15,0.1,0,0
tx-gen-000190,cust-0047,147.6,136.82,1.08,0,0.0,20,0.1,0,0
tx-gen-000191,cust-0010,372.8,219.36,1.7,0,0.0,4,0.1,0,0
tx-gen-000192,cust-0028,239.81,296.01,0.81,0,0.0,22,0.1,0,0
tx-gen-000193,cust-0036,57.48,76.21,0.75,0,0.0,3,0.1,0,0
tx-gen-000194,cust-0049,18.74,67.7,0.28,0,0.0,16,0.1,0,0
tx-gen-000195,cust-0037,9.39,96.1,0.1,0,0.0,2,0.1,0,0
tx-gen-000196,cust-0036,173.39,76.21,2.28,0,0.0,8,0.4,0,0
tx-gen-000197,cust-0036,175.8,76.21,2.31,0,0.0,14,0.4,0,0
tx-gen-000198,cust-0039,216.38,215.8,1.0,0,0.0,8,0.1,0,0
tx-gen-000199,cust-0020,94.0,227.03,0.41,0,0.0,22,0.1,0,0
tx-gen-000200,cust-0043,43.94,102.29,0.43,0,0.0,21,0.1,0,0
tx-gen-000201,cust-0025,240.63,185.89,1.29,0,0.0,0,0.1,0,0
tx-gen-000202,cust-0050,412.91,181.57,2.27,1,0.0,6,0.1,0,0
tx-gen-000203,cust-0049,147.66,67.7,2.18,0,0.0,10,0.1,0,0
tx-gen-000204,cust-0039,326.63,215.8,1.51,0,0.0,20,0.1,0,0
tx-gen-000205,cust-0028,304.09,296.01,1.03,0,0.0,23,0.1,0,0
tx-gen-000206,cust-0015,9.23,105.03,0.09,0,0.0,13,0.1,0,0
tx-gen-000207,cust-0014,38.52,218.5,0.18,0,0.0,6,0.1,0,0
tx-gen-000208,cust-0048,352.14,153.89,2.29,0,0.0,18,0.1,0,0
tx-gen-000209,cust-0036,71.07,76.21,0.93,0,0.0,5,0.1,0,0
tx-gen-000210,cust-0028,3205.18,296.01,10.83,7,7343.0,2,0.8,1,1
tx-gen-000211,cust-0019,5.0,193.01,0.03,0,0.0,21,0.1,1,0
tx-gen-000212,cust-0030,11.24,105.05,0.11,0,0.0,22,0.1,0,0
tx-gen-000213,cust-0028,322.4,296.01,1.09,0,0.0,16,0.1,0,0
tx-gen-000214,cust-0022,5.0,51.28,0.1,0,0.0,7,0.1,0,0
tx-gen-000215,cust-0033,36.98,210.95,0.18,0,0.0,19,0.1,0,0
tx-gen-000216,cust-0010,174.54,219.36,0.8,0,0.0,7,0.1,0,0
tx-gen-000217,cust-0049,79.7,67.7,1.18,2,0.0,20,0.1,0,0
tx-gen-000218,cust-0030,110.87,105.05,1.06,0,0.0,17,0.1,0,0
tx-gen-000219,cust-0042,62.82,247.36,0.25,1,0.0,20,0.1,0,0
tx-gen-000220,cust-0010,273.19,219.36,1.25,0,0.0,16,0.1,0,0
tx-gen-000221,cust-0038,35.87,132.45,0.27,0,0.0,4,0.1,0,0
tx-gen-000222,cust-0004,83.73,212.71,0.39,0,0.0,3,0.1,1,0
tx-gen-000223,cust-0006,52.95,38.58,1.37,0,0.0,3,0.1,0,0
tx-gen-000224,cust-0048,161.4,153.89,1.05,0,0.0,22,0.4,0,0
tx-gen-000225,cust-0031,482.85,255.21,1.89,0,0.0,15,0.1,0,0
tx-gen-000226,cust-0022,54.96,51.28,1.07,0,0.0,16,0.4,0,0
tx-gen-000227,cust-0046,73.43,87.41,0.84,0,0.0,23,0.4,0,0
tx-gen-000228,cust-0024,26.46,269.07,0.1,0,0.0,6,0.1,0,0
tx-gen-000229,cust-0004,97.51,212.71,0.46,0,0.0,22,0.1,0,0
tx-gen-000230,cust-0044,85.22,276.55,0.31,1,0.0,22,0.4,0,0
tx-gen-000231,cust-0038,37.05,132.45,0.28,2,0.0,20,0.1,0,0
tx-gen-000232,cust-0026,121.95,48.78,2.5,0,0.0,17,0.1,0,0
tx-gen-000233,cust-0022,25.61,51.28,0.5,0,0.0,21,0.1,0,0
tx-gen-000234,cust-0024,1354.02,269.07,5.03,6,2753.0,2,0.8,1,1
tx-gen-000235,cust-0010,488.31,219.36,2.23,0,0.0,4,0.4,0,0
tx-gen-000236,cust-0034,282.15,282.9,1.0,0,0.0,15,0.4,0,0
tx-gen-000237,cust-0011,141.78,89.52,1.58,0,0.0,20,0.1,0,0
tx-gen-000238,cust-0024,187.93,269.07,0.7,0,0.0,14,0.1,0,0
tx-gen-000239,cust-0029,227.04,263.95,0.86,2,0.0,18,0.1,0,0
tx-gen-000240,cust-0013,159.32,234.88,0.68,0,0.0,22,0.1,0,0
tx-gen-000241,cust-0025,40.38,185.89,0.22,1,0.0,2,0.1,0,0
tx-gen-000242,cust-0009,107.27,83.69,1.28,1,0.0,17,0.1,0,0
tx-gen-000243,cust-0007,29.34,89.03,0.33,0,0.0,23,0.1,0,0
tx-gen-000244,cust-0018,5.0,56.11,0.09,1,0.0,17,0.1,0,0
tx-gen-000245,cust-0015,108.91,105.03,1.04,0,0.0,19,0.1,0,0
tx-gen-000246,cust-0024,52.45,269.07,0.19,0,0.0,10,0.1,0,0
tx-gen-000247,cust-0007,222.575,89.03,2.5,0,0.0,3,0.1,0,0
tx-gen-000248,cust-0019,482.525,193.01,2.5,0,0.0,0,0.1,0,0
tx-gen-000249,cust-0040,786.68,214.85,3.66,7,9147.0,5,0.4,0,1
tx-gen-000250,cust-0028,729.22,296.01,2.46,0,0.0,5,0.1,0,0
tx-gen-000251,cust-0027,42.31,91.53,0.46,0,0.0,16,0.1,0,0
tx-gen-000252,cust-0032,5.0,129.95,0.04,0,0.0,11,0.4,0,0
tx-gen-000253,cust-0019,482.525,193.01,2.5,0,0.0,23,0.1,0,0
tx-gen-000254,cust-0043,57.17,102.29,0.56,0,0.0,15,0.1,0,0
tx-gen-000255,cust-0033,527.375,210.95,2.5,0,0.0,4,0.4,0,0
tx-gen-000256,cust-0003,169.20000000000002,67.68,2.5,0,0.0,23,0.1,0,0
tx-gen-000257,cust-0005,102.52,53.47,1.92,0,0.0,19,0.1,0,0
tx-gen-000258,cust-0022,17.89,51.28,0.35,0,0.0,1,0.4,0,0
tx-gen-000259,cust-0050,88.3,181.57,0.49,1,0.0,13,0.1,0,0
tx-gen-000260,cust-0050,345.84,181.57,1.9,0,0.0,8,0.1,0,0
tx-gen-000261,cust-0003,25.8,67.68,0.38,0,0.0,5,0.4,0,0
tx-gen-000262,cust-0031,47.4,255.21,0.19,0,0.0,21,0.1,0,0
tx-gen-000263,cust-0004,173.09,212.71,0.81,0,0.0,5,0.1,0,0
tx-gen-000264,cust-0026,121.95,48.78,2.5,2,0.0,4,0.1,0,0
tx-gen-000265,cust-0032,154.75,129.95,1.19,1,0.0,6,0.1,0,0
tx-gen-000266,cust-0006,32.57,38.58,0.84,0,0.0,10,0.4,0,0
tx-gen-000267,cust-0021,6.51,63.7,0.1,0,0.0,21,0.1,0,0
tx-gen-000268,cust-0045,254.5,266.62,0.95,0,0.0,16,0.1,1,0
tx-gen-000269,cust-0040,537.125,214.85,2.5,0,0.0,23,0.1,0,0
tx-gen-000270,cust-0024,40.61,269.07,0.15,0,0.0,13,0.1,0,0
tx-gen-000271,cust-0029,1453.3,263.95,5.51,5,9793.0,2,0.8,1,1
tx-gen-000272,cust-0003,49.44,67.68,0.73,0,0.0,22,0.1,0,0
tx-gen-000273,cust-0037,201.68,96.1,2.1,0,0.0,9,0.1,0,0
tx-gen-000274,cust-0008,1490.7,192.55,7.74,3,4764.0,22,0.8,1,1
tx-gen-000275,cust-0046,118.01,87.41,1.35,0,0.0,16,0.1,1,0
tx-gen-000276,cust-0013,280.46,234.88,1.19,0,0.0,17,0.1,0,0
tx-gen-000277,cust-0006,46.77,38.58,1.21,0,0.0,2,0.1,0,0
tx-gen-000278,cust-0019,85.98,193.01,0.45,0,0.0,8,0.1,0,0
tx-gen-000279,cust-0008,66.92,192.55,0.35,0,0.0,15,0.1,0,0
tx-gen-000280,cust-0036,126.31,76.21,1.66,0,0.0,13,0.4,0,0
tx-gen-000281,cust-0005,88.83,53.47,1.66,0,0.0,13,0.4,0,0
tx-gen-000282,cust-0037,193.92,96.1,2.02,0,0.0,20,0.1,0,0
tx-gen-000283,cust-0023,620.79,253.94,2.44,0,0.0,4,0.4,1,0
tx-gen-000284,cust-0028,211.97,296.01,0.72,0,0.0,1,0.1,0,0
tx-gen-000285,cust-0011,62.32,89.52,0.7,1,0.0,12,0.1,0,0
tx-gen-000286,cust-0019,309.0,193.01,1.6,0,0.0,19,0.1,0,0
tx-gen-000287,cust-0009,87.85,83.69,1.05,0,0.0,22,0.4,0,0
tx-gen-000288,cust-0038,160.34,132.45,1.21,0,0.0,0,0.1,0,0
tx-gen-000289,cust-0039,342.82,215.8,1.59,1,0.0,7,0.1,0,0
tx-gen-000290,cust-0003,149.39,67.68,2.21,0,0.0,11,0.1,0,0
tx-gen-000291,cust-0027,37.75,91.53,0.41,1,0.0,18,0.1,0,0
tx-gen-000292,cust-0042,116.49,247.36,0.47,1,0.0,23,0.1,0,0
tx-gen-000293,cust-0020,22.41,227.03,0.1,0,0.0,10,0.1,0,0
tx-gen-000294,cust-0014,188.66,218.5,0.86,1,0.0,1,0.1,0,0
tx-gen-000295,cust-0023,9.3,253.94,0.04,0,0.0,21,0.1,0,0
tx-gen-000296,cust-0016,180.74,288.45,0.63,0,0.0,8,0.1,0,0
tx-gen-000297,cust-0019,150.99,193.01,0.78,0,0.0,0,0.1,0,0
tx-gen-000298,cust-0011,30.22,89.52,0.34,0,0.0,13,0.1,0,0
tx-gen-000299,cust-0033,188.51,210.95,0.89,0,0.0,2,0.1,1,0
tx-gen-000300,cust-0033,6.53,210.95,0.03,0,0.0,21,0.1,0,0
tx-gen-000301,cust-0019,7.35,193.01,0.04,0,0.0,13,0.1,0,0
tx-gen-000302,cust-0007,153.96,89.03,1.73,0,0.0,1,0.1,0,0
tx-gen-000303,cust-0026,21.78,48.78,0.45,0,0.0,3,0.1,0,0
tx-gen-000304,cust-0025,25.26,185.89,0.14,1,0.0,1,0.1,0,0
tx-gen-000305,cust-0040,158.7,214.85,0.74,0,0.0,19,0.1,1,0
tx-gen-000306,cust-0036,112.0,76.21,1.47,0,0.0,3,0.1,0,0
tx-gen-000307,cust-0003,16.45,67.68,0.24,1,0.0,11,0.1,0,0
tx-gen-000308,cust-0010,213.92,219.36,0.98,0,0.0,22,0.1,0,0
tx-gen-000309,cust-0011,7.99,89.52,0.09,0,0.0,2,0.1,0,0
tx-gen-000310,cust-0033,11.19,210.95,0.05,0,0.0,5,0.1,0,0
tx-gen-000311,cust-0022,38.87,51.28,0.76,0,0.0,21,0.4,0,0
tx-gen-000312,cust-0045,207.41,266.62,0.78,0,0.0,7,0.1,0,0
tx-gen-000313,cust-0050,184.21,181.57,1.01,0,0.0,17,0.1,0,0
tx-gen-000314,cust-0041,118.93,91.84,1.29,1,0.0,14,0.1,0,0
tx-gen-000315,cust-0037,240.25,96.1,2.5,0,0.0,0,0.1,0,0
tx-gen-000316,cust-0010,159.32,219.36,0.73,0,0.0,13,0.1,0,0
tx-gen-000317,cust-0031,99.54,255.21,0.39,0,0.0,16,0.1,0,0
tx-gen-000318,cust-0043,162.2,102.29,1.59,2,0.0,7,0.1,0,0
tx-gen-000319,cust-0035,15.57,49.28,0.32,0,0.0,5,0.1,0,0
tx-gen-000320,cust-0016,166.72,288.45,0.58,1,0.0,4,0.1,1,0
tx-gen-000321,cust-0050,14.84,181.57,0.08,0,0.0,20,0.1,0,0
